2025-05-31 21:49:51.003 | ERROR    | chunks_processor:process_message:176 - Erro ao processar mensagem: 'KafkaConfig' object has no attribute 'get_kafka_config'
2025-05-31 21:49:51.003 | ERROR    | pdf_processor:process_message:175 - Detalhes da mensagem: tópico=None, partição=0, offset=None
2025-05-31 21:49:51.004 | ERROR    | chunks_processor:process_message:177 - Detalhes da mensagem: tópico=None, partição=0, offset=None
2025-05-31 21:51:31.427 | ERROR    | chunks_processor:process_message:112 - Erro na mensagem Kafka: KafkaError{code=UNKNOWN_TOPIC_OR_PART,val=3,str="Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition"}
2025-05-31 21:51:31.427 | ERROR    | chunks_processor:process_message:113 - Detalhes do erro: código=3, nome=UNKNOWN_TOPIC_OR_PART, descrição=Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition
2025-05-31 21:51:31.428 | ERROR    | chunks_processor:process_message:176 - Erro ao processar mensagem: 'KafkaConfig' object has no attribute 'get_kafka_config'
2025-05-31 21:51:31.428 | ERROR    | chunks_processor:process_message:177 - Detalhes da mensagem: tópico=pdf_baixados, partição=0, offset=None
2025-05-31 21:55:54.285 | ERROR    | chunks_processor:process_message:112 - Erro na mensagem Kafka: KafkaError{code=UNKNOWN_TOPIC_OR_PART,val=3,str="Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition"}
2025-05-31 21:55:54.285 | ERROR    | chunks_processor:process_message:113 - Detalhes do erro: código=3, nome=UNKNOWN_TOPIC_OR_PART, descrição=Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition
2025-05-31 21:55:54.286 | ERROR    | chunks_processor:process_message:117 - Configurações atuais: group.id=pdf-processor-group, client.id=kafka-client-b95e72b1-b9ed-42b3-afa5-50a87463fa1e
2025-05-31 22:11:26.664 | ERROR    | pdf_processor:process_message:124 - Erro ao processar mensagem: 'utf-8' codec can't decode byte 0x86 in position 3: invalid start byte
2025-05-31 22:15:09.320 | ERROR    | pdf_processor:process_message:139 - Erro ao decodificar mensagem JSON: Expecting value: line 1 column 1 (char 0)
2025-05-31 22:17:29.558 | ERROR    | pdf_processor:process_message:157 - Erro ao processar PDF https://www.gov.br/saude/pt-br/assuntos/pcdt/h/hepatite-b-e-coinfeccoes/@@download/file: no value and no default for id
2025-05-31 22:19:41.075 | ERROR    | chunks_processor:process_message:130 - Erro ao processar mensagem: 'utf-8' codec can't decode byte 0x86 in position 3: invalid start byte
